,Country,State,City/Station,WMO,Source Data,Latitude (N+/S-),Longitude (E+/W-),Time Zone (GMT +/-),Elevation (m),URL
7175,ITA,CM,Grazzanise.AB,162530,SRC-TMYx,41.0606,14.0789,1,10.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Grazzanise.AB.162530_TMYx.2007-2021.zip
7176,ITA,CM,Grazzanise.AB,162530,SRC-TMYx,41.0606,14.0789,1,10.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Grazzanise.AB.162530_TMYx.2009-2023.zip
7177,ITA,CM,Grazzanise.AB,162530,SRC-TMYx,41.0606,14.0789,1,10.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/CM_Campania/ITA_CM_Grazzanise.AB.162530_TMYx.zip
7178,ITA,PU,S.Angelo.Mtn,162580,Custom-162580,41.7083,15.9478,1,848.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_S.Angelo.Mtn.162580_TMYx.2004-2018.zip
7179,ITA,PU,S.Angelo.Mtn,162580,SRC-TMYx,41.7083,15.9478,1,848.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_S.Angelo.Mtn.162580_TMYx.2007-2021.zip
7180,ITA,PU,S.Angelo.Mtn,162580,SRC-TMYx,41.7083,15.9478,1,848.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_S.Angelo.Mtn.162580_TMYx.2009-2023.zip
7181,ITA,PU,S.Angelo.Mtn,162580,SRC-TMYx,41.7083,15.9478,1,848.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_S.Angelo.Mtn.162580_TMYx.zip
7182,ITA,LM,Brescia-Montichiari.AP,162593,Custom-162593,45.429,10.331,1,108.5,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LM_Lombardy/ITA_LM_Brescia-Montichiari.AP.162593_TMYx.2004-2018.zip
7183,ITA,LM,Brescia-Montichiari.AP,162593,SRC-TMYx,45.429,10.331,1,108.5,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LM_Lombardy/ITA_LM_Brescia-Montichiari.AP.162593_TMYx.2007-2021.zip
7184,ITA,LM,Brescia-Montichiari.AP,162593,SRC-TMYx,45.429,10.331,1,108.5,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LM_Lombardy/ITA_LM_Brescia-Montichiari.AP.162593_TMYx.2009-2023.zip
7185,ITA,LM,Brescia-Montichiari.AP,162593,SRC-TMYx,45.429,10.331,1,108.5,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/LM_Lombardy/ITA_LM_Brescia-Montichiari.AP.162593_TMYx.zip
7186,ITA,PU,Foggia.AP,162600,Custom-162600,41.433,15.533,1,81.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Foggia.AP.162600_TMYx.2004-2018.zip
7187,ITA,PU,Foggia.AP,162600,SRC-TMYx,41.433,15.533,1,81.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Foggia.AP.162600_TMYx.2007-2021.zip
7188,ITA,PU,Foggia.AP,162600,SRC-TMYx,41.433,15.533,1,81.0,https://climate.onebuilding.org/WMO_Region_6_Europe/ITA_Italy/PU_Apulia/ITA_PU_Foggia.AP.162600_TMYx.2009-2023.zip
